order_id,user_id,order_ts,channel,order_status
O000035,U0108,2025-12-01 18:01:00,네이버,PAID
O000036,U0064,2025-12-01 12:04:00,네이버,PAID
O000037,U0119,2025-12-01 11:50:00,자사몰,PAID
O000038,U0074,2025-12-01 17:16:00,에이블리,PAID
O000039,U0013,2025-12-01 14:50:00,자사몰,PAID
O000040,U0089,2025-12-01 11:47:00,자사몰,PAID
O000041,U0243,2025-12-01 14:32:00,쿠팡,PAID
O000042,U0022,2025-12-01 22:42:00,네이버,PAID
O000043,U0015,2025-12-01 16:54:00,자사몰,PAID
O000044,U0227,2025-12-01 10:20:00,자사몰,PAID
O000045,U0299,2025-12-01 14:24:00,쿠팡,PAID
O000046,U0220,2025-12-01 20:07:00,자사몰,PAID
O000047,U0110,2025-12-01 12:26:00,쿠팡,PAID
O000048,U0048,2025-12-01 14:42:00,자사몰,PAID
O000049,U0242,2025-12-01 22:05:00,자사몰,PAID
O000050,U0190,2025-12-01 17:03:00,지그재그,PAID
O000051,U0062,2025-12-01 22:42:00,쿠팡,PAID
O000052,U0026,2025-12-01 18:19:00,에이블리,PAID
O000053,U0079,2025-12-01 12:54:00,네이버,PAID
O000054,U0058,2025-12-01 18:14:00,네이버,PAID
O000055,U0285,2025-12-01 19:53:00,자사몰,PAID
O000056,U0158,2025-12-01 14:00:00,에이블리,PAID
O000057,U0205,2025-12-01 20:40:00,자사몰,PAID
O000058,U0192,2025-12-01 14:10:00,쿠팡,PAID
O000059,U0290,2025-12-01 09:09:00,쿠팡,PAID
O000060,U0226,2025-12-01 16:38:00,네이버,PAID
O000061,U0262,2025-12-01 15:07:00,자사몰,PAID
O000062,U0269,2025-12-01 09:14:00,네이버,PAID
O000063,U0108,2025-12-01 21:16:00,네이버,PAID
O000064,U0089,2025-12-01 17:45:00,자사몰,PAID
O000065,U0181,2025-12-01 22:47:00,자사몰,PAID
O000066,U0039,2025-12-01 18:27:00,지그재그,PAID
O000067,U0148,2025-12-01 09:20:00,자사몰,PAID
O000068,U0185,2025-12-01 22:06:00,자사몰,PAID
O000069,U0040,2025-12-01 13:47:00,자사몰,PAID
O000070,U0039,2025-12-01 10:33:00,쿠팡,PAID
O000071,U0179,2025-12-01 22:41:00,네이버,PAID
O000072,U0101,2025-12-01 11:48:00,자사몰,PAID
O000073,U0252,2025-12-01 18:48:00,쿠팡,PAID
O000074,U0289,2025-12-02 18:20:00,네이버,PAID
O000075,U0034,2025-12-02 19:19:00,쿠팡,PAID
O000076,U0158,2025-12-02 09:03:00,쿠팡,PAID
O000077,U0046,2025-12-02 17:24:00,네이버,PAID
O000078,U0021,2025-12-02 21:36:00,쿠팡,PAID
O000079,U0256,2025-12-02 09:28:00,자사몰,PAID
O000080,U0043,2025-12-02 11:02:00,쿠팡,PAID
O000081,U0268,2025-12-02 11:23:00,쿠팡,PAID
O000082,U0173,2025-12-02 09:50:00,네이버,PAID
O000083,U0197,2025-12-02 20:54:00,자사몰,PAID
O000084,U0076,2025-12-02 18:42:00,자사몰,PAID
O000085,U0200,2025-12-02 20:05:00,자사몰,PAID
O000086,U0168,2025-12-02 19:44:00,지그재그,PAID
O000087,U0047,2025-12-02 15:32:00,네이버,PAID
O000088,U0109,2025-12-02 21:31:00,자사몰,PAID
O000089,U0151,2025-12-02 10:32:00,지그재그,PAID
O000090,U0269,2025-12-02 14:56:00,자사몰,PAID
O000091,U0078,2025-12-02 22:44:00,자사몰,PAID
O000092,U0224,2025-12-02 14:43:00,자사몰,PAID
O000093,U0229,2025-12-02 12:19:00,자사몰,PAID
O000094,U0099,2025-12-02 18:28:00,자사몰,PAID
O000095,U0257,2025-12-02 11:52:00,쿠팡,PAID
O000096,U0128,2025-12-02 16:55:00,자사몰,PAID
O000097,U0264,2025-12-02 13:05:00,지그재그,PAID
O000098,U0262,2025-12-02 15:05:00,자사몰,PAID
O000099,U0178,2025-12-02 15:03:00,에이블리,PAID
O000100,U0041,2025-12-02 09:20:00,자사몰,PAID
O000101,U0074,2025-12-02 13:58:00,자사몰,PAID
O000102,U0240,2025-12-02 09:57:00,쿠팡,PAID
O000103,U0076,2025-12-02 20:38:00,쿠팡,PAID
O000104,U0121,2025-12-02 09:15:00,자사몰,PAID
O000105,U0032,2025-12-02 16:38:00,자사몰,PAID
O000106,U0123,2025-12-02 13:27:00,네이버,PAID
O000107,U0213,2025-12-02 19:05:00,자사몰,PAID
O000108,U0259,2025-12-02 17:35:00,네이버,PAID
O000109,U0198,2025-12-02 13:47:00,에이블리,PAID
O000110,U0053,2025-12-02 20:48:00,네이버,PAID
O000111,U0173,2025-12-02 11:53:00,지그재그,PAID
O000112,U0245,2025-12-02 21:08:00,네이버,PAID
O000113,U0018,2025-12-02 09:50:00,자사몰,PAID
O000114,U0158,2025-12-02 22:34:00,쿠팡,PAID
O000115,U0097,2025-12-02 22:49:00,자사몰,PAID
O000116,U0063,2025-12-02 15:56:00,네이버,PAID
O000117,U0197,2025-12-02 11:31:00,자사몰,PAID
O000118,U0265,2025-12-02 10:46:00,자사몰,PAID
O000119,U0092,2025-12-02 14:06:00,쿠팡,PAID
O000120,U0228,2025-12-02 15:10:00,네이버,PAID
O000121,U0180,2025-12-02 15:17:00,네이버,PAID
O000122,U0038,2025-12-02 15:23:00,네이버,PAID
O000123,U0015,2025-12-02 18:43:00,자사몰,PAID
O000124,U0120,2025-12-02 14:23:00,네이버,PAID
O000125,U0230,2025-12-02 14:28:00,에이블리,PAID
O000126,U0187,2025-12-02 19:17:00,자사몰,PAID
O000127,U0265,2025-12-02 17:07:00,자사몰,PAID
O000128,U0109,2025-12-02 13:44:00,에이블리,PAID
O000129,U0037,2025-12-02 20:28:00,쿠팡,PAID
O000130,U0163,2025-12-02 20:04:00,네이버,PAID
O000131,U0080,2025-12-02 20:40:00,네이버,PAID
O000132,U0062,2025-12-02 21:08:00,에이블리,PAID
O000133,U0188,2025-12-02 17:08:00,쿠팡,PAID
O000134,U0245,2025-12-02 21:26:00,쿠팡,PAID
O000135,U0037,2025-12-02 19:33:00,쿠팡,PAID
O000136,U0282,2025-12-02 11:49:00,네이버,PAID
O000137,U0028,2025-12-02 17:09:00,지그재그,PAID
O000138,U0115,2025-12-02 17:57:00,자사몰,PAID
O000139,U0282,2025-12-02 19:19:00,자사몰,PAID
O000140,U0086,2025-12-02 18:09:00,쿠팡,PAID
O000141,U0172,2025-12-02 18:02:00,지그재그,PAID
O000142,U0295,2025-12-02 12:49:00,자사몰,PAID
O000143,U0254,2025-12-03 17:18:00,지그재그,PAID
O000144,U0207,2025-12-03 10:44:00,자사몰,PAID
O000145,U0237,2025-12-03 18:09:00,자사몰,PAID
O000146,U0176,2025-12-03 11:48:00,에이블리,PAID
O000147,U0123,2025-12-03 13:28:00,쿠팡,PAID
O000148,U0214,2025-12-03 22:57:00,자사몰,PAID
O000149,U0160,2025-12-03 11:31:00,자사몰,PAID
O000150,U0254,2025-12-03 15:32:00,자사몰,PAID
O000151,U0180,2025-12-03 13:31:00,자사몰,PAID
O000152,U0240,2025-12-03 09:54:00,자사몰,PAID
O000153,U0187,2025-12-03 14:02:00,네이버,PAID
O000154,U0185,2025-12-03 10:24:00,쿠팡,PAID
O000155,U0060,2025-12-03 10:25:00,자사몰,PAID
O000156,U0187,2025-12-03 12:38:00,네이버,PAID
O000157,U0170,2025-12-03 17:29:00,지그재그,PAID
O000158,U0167,2025-12-03 14:10:00,에이블리,PAID
O000159,U0153,2025-12-03 17:53:00,쿠팡,PAID
O000160,U0153,2025-12-03 09:23:00,쿠팡,PAID
O000161,U0298,2025-12-03 20:55:00,자사몰,PAID
O000162,U0135,2025-12-03 21:49:00,에이블리,PAID
O000163,U0298,2025-12-03 17:40:00,쿠팡,PAID
O000164,U0075,2025-12-03 12:02:00,지그재그,PAID
O000165,U0009,2025-12-03 15:09:00,쿠팡,PAID
O000166,U0241,2025-12-03 20:46:00,지그재그,PAID
O000167,U0287,2025-12-03 19:30:00,자사몰,PAID
O000168,U0235,2025-12-03 14:34:00,에이블리,PAID
O000169,U0135,2025-12-03 12:15:00,네이버,PAID
O000170,U0152,2025-12-03 20:13:00,네이버,PAID
O000171,U0178,2025-12-03 21:46:00,쿠팡,PAID
O000172,U0278,2025-12-03 15:52:00,자사몰,PAID
O000173,U0148,2025-12-03 20:05:00,자사몰,PAID
O000174,U0245,2025-12-03 22:34:00,자사몰,PAID
O000175,U0070,2025-12-03 20:37:00,자사몰,PAID
O000176,U0271,2025-12-03 12:03:00,자사몰,PAID
O000177,U0051,2025-12-03 11:00:00,네이버,PAID
O000178,U0243,2025-12-03 12:48:00,쿠팡,PAID
O000179,U0045,2025-12-03 12:34:00,네이버,PAID
O000180,U0089,2025-12-03 22:11:00,쿠팡,PAID
O000181,U0253,2025-12-03 20:55:00,자사몰,PAID
O000182,U0054,2025-12-03 14:18:00,에이블리,PAID
O000183,U0252,2025-12-03 11:54:00,지그재그,PAID
O000184,U0057,2025-12-03 20:29:00,자사몰,PAID
O000185,U0172,2025-12-03 18:43:00,네이버,PAID
O000186,U0207,2025-12-03 17:20:00,지그재그,PAID
O000187,U0244,2025-12-03 12:00:00,자사몰,PAID
O000188,U0136,2025-12-03 13:37:00,에이블리,PAID
O000189,U0184,2025-12-03 09:42:00,네이버,PAID
O000190,U0257,2025-12-03 20:49:00,에이블리,PAID
O000191,U0151,2025-12-03 12:14:00,자사몰,PAID
O000192,U0191,2025-12-03 17:58:00,쿠팡,PAID
O000193,U0111,2025-12-03 19:48:00,네이버,PAID
O000194,U0185,2025-12-03 18:07:00,자사몰,PAID
O000195,U0103,2025-12-03 11:10:00,쿠팡,PAID
O000196,U0105,2025-12-03 16:05:00,네이버,PAID
O000197,U0212,2025-12-03 09:35:00,쿠팡,PAID
O000198,U0011,2025-12-03 22:00:00,자사몰,PAID
O000199,U0032,2025-12-03 09:59:00,쿠팡,PAID
O000200,U0069,2025-12-03 20:41:00,네이버,PAID
O000201,U0193,2025-12-03 19:42:00,자사몰,PAID
O000202,U0060,2025-12-03 17:25:00,자사몰,PAID
O000203,U0001,2025-12-03 13:29:00,네이버,PAID
O000204,U0194,2025-12-03 12:29:00,지그재그,PAID
O000205,U0057,2025-12-03 19:26:00,자사몰,PAID
O000206,U0008,2025-12-03 10:06:00,자사몰,PAID
O000207,U0024,2025-12-03 09:25:00,자사몰,PAID
O000208,U0028,2025-12-03 13:14:00,자사몰,PAID
O000209,U0164,2025-12-03 11:42:00,자사몰,PAID
O000210,U0031,2025-12-03 18:56:00,쿠팡,PAID
O000211,U0218,2025-12-03 09:22:00,쿠팡,PAID
O000212,U0163,2025-12-03 15:09:00,네이버,PAID
O000213,U0242,2025-12-03 12:19:00,자사몰,PAID
O000214,U0029,2025-12-03 15:35:00,쿠팡,PAID
O000215,U0104,2025-12-03 10:59:00,자사몰,PAID
O000216,U0097,2025-12-03 15:43:00,자사몰,PAID
O000217,U0096,2025-12-04 18:46:00,지그재그,PAID
O000218,U0170,2025-12-04 09:13:00,자사몰,PAID
O000219,U0245,2025-12-04 20:38:00,에이블리,PAID
O000220,U0282,2025-12-04 13:24:00,자사몰,PAID
O000221,U0133,2025-12-04 16:29:00,자사몰,PAID
O000222,U0163,2025-12-04 14:20:00,에이블리,PAID
O000223,U0074,2025-12-04 17:59:00,자사몰,PAID
O000224,U0078,2025-12-04 12:24:00,자사몰,PAID
O000225,U0172,2025-12-04 22:31:00,자사몰,PAID
O000226,U0086,2025-12-04 14:10:00,네이버,PAID
O000227,U0277,2025-12-04 09:33:00,에이블리,PAID
O000228,U0024,2025-12-04 15:08:00,네이버,PAID
O000229,U0004,2025-12-04 16:23:00,자사몰,PAID
O000230,U0247,2025-12-04 09:00:00,네이버,PAID
O000231,U0140,2025-12-04 13:01:00,쿠팡,PAID
O000232,U0091,2025-12-04 10:33:00,자사몰,PAID
O000233,U0129,2025-12-04 13:50:00,지그재그,PAID
O000234,U0235,2025-12-04 20:14:00,쿠팡,PAID
O000235,U0016,2025-12-04 15:24:00,자사몰,PAID
O000236,U0087,2025-12-04 22:27:00,자사몰,PAID
O000237,U0048,2025-12-04 09:14:00,지그재그,PAID
O000238,U0290,2025-12-04 09:59:00,쿠팡,PAID
O000239,U0278,2025-12-04 09:11:00,쿠팡,PAID
O000240,U0073,2025-12-04 20:52:00,네이버,PAID
O000241,U0288,2025-12-04 22:54:00,자사몰,PAID
O000242,U0196,2025-12-04 11:50:00,네이버,PAID
O000243,U0177,2025-12-04 15:14:00,자사몰,PAID
O000244,U0203,2025-12-04 14:01:00,에이블리,PAID
O000245,U0251,2025-12-04 17:24:00,자사몰,PAID
O000246,U0194,2025-12-04 18:18:00,자사몰,PAID
O000247,U0194,2025-12-04 19:09:00,네이버,PAID
O000248,U0046,2025-12-04 13:28:00,자사몰,PAID
O000249,U0044,2025-12-04 16:35:00,자사몰,PAID
O000250,U0045,2025-12-04 10:38:00,자사몰,PAID
O000251,U0006,2025-12-04 15:49:00,자사몰,PAID
O000252,U0124,2025-12-04 11:43:00,쿠팡,PAID
O000253,U0137,2025-12-04 10:10:00,쿠팡,PAID
O000254,U0039,2025-12-04 12:46:00,자사몰,PAID
O000255,U0234,2025-12-04 13:00:00,자사몰,PAID
O000256,U0168,2025-12-04 15:52:00,쿠팡,PAID
O000257,U0164,2025-12-04 20:12:00,네이버,PAID
O000258,U0163,2025-12-04 20:40:00,자사몰,PAID
O000259,U0166,2025-12-04 22:50:00,자사몰,PAID
O000260,U0102,2025-12-04 17:11:00,쿠팡,PAID
O000261,U0107,2025-12-04 13:53:00,쿠팡,PAID
O000262,U0209,2025-12-04 11:40:00,네이버,PAID
O000263,U0216,2025-12-04 10:28:00,네이버,PAID
O000264,U0259,2025-12-04 22:44:00,에이블리,PAID
O000265,U0184,2025-12-04 21:34:00,네이버,PAID
O000266,U0181,2025-12-04 18:02:00,자사몰,PAID
O000267,U0204,2025-12-04 14:50:00,에이블리,PAID
O000268,U0265,2025-12-04 20:36:00,쿠팡,PAID
O000269,U0256,2025-12-04 09:30:00,자사몰,PAID
O000270,U0043,2025-12-04 20:09:00,자사몰,PAID
O000271,U0105,2025-12-04 14:30:00,쿠팡,PAID
O000272,U0163,2025-12-04 09:51:00,자사몰,PAID
O000273,U0055,2025-12-04 11:59:00,네이버,PAID
O000274,U0081,2025-12-04 15:29:00,자사몰,PAID
O000275,U0095,2025-12-04 15:25:00,네이버,PAID
O000276,U0230,2025-12-04 15:00:00,쿠팡,PAID
O000277,U0032,2025-12-04 21:55:00,쿠팡,PAID
O000278,U0234,2025-12-04 19:55:00,자사몰,PAID
O000279,U0198,2025-12-04 18:07:00,네이버,PAID
O000280,U0088,2025-12-04 20:51:00,지그재그,PAID
O000281,U0068,2025-12-04 12:19:00,자사몰,PAID
O000282,U0261,2025-12-04 18:08:00,자사몰,PAID
O000283,U0275,2025-12-04 19:59:00,네이버,PAID
O000284,U0071,2025-12-04 22:28:00,자사몰,PAID
O000285,U0004,2025-12-04 12:52:00,쿠팡,PAID
O000286,U0253,2025-12-04 16:26:00,쿠팡,PAID
O000287,U0042,2025-12-04 21:48:00,쿠팡,PAID
O000288,U0275,2025-12-04 21:29:00,자사몰,PAID
O000289,U0281,2025-12-04 18:07:00,쿠팡,PAID
O000290,U0187,2025-12-04 21:02:00,쿠팡,PAID
O000291,U0217,2025-12-04 22:41:00,자사몰,PAID
O000292,U0016,2025-12-04 14:55:00,쿠팡,PAID
O000293,U0121,2025-12-04 20:37:00,자사몰,PAID
O000294,U0219,2025-12-04 11:50:00,자사몰,PAID
O000295,U0291,2025-12-04 13:38:00,자사몰,PAID
O000296,U0149,2025-12-04 13:54:00,자사몰,PAID
O000297,U0048,2025-12-05 21:50:00,자사몰,PAID
O000298,U0064,2025-12-05 11:15:00,네이버,PAID
O000299,U0201,2025-12-05 18:40:00,쿠팡,PAID
O000300,U0038,2025-12-05 21:05:00,네이버,PAID
O000301,U0188,2025-12-05 16:20:00,쿠팡,PAID
O000302,U0047,2025-12-05 16:40:00,네이버,PAID
O000303,U0273,2025-12-05 15:52:00,자사몰,PAID
O000304,U0145,2025-12-05 18:08:00,자사몰,PAID
O000305,U0024,2025-12-05 19:50:00,자사몰,PAID
O000306,U0080,2025-12-05 09:27:00,쿠팡,PAID
O000307,U0154,2025-12-05 13:05:00,자사몰,PAID
O000308,U0084,2025-12-05 19:19:00,자사몰,PAID
O000309,U0046,2025-12-05 09:13:00,네이버,PAID
O000310,U0265,2025-12-05 09:00:00,네이버,PAID
O000311,U0216,2025-12-05 16:04:00,네이버,PAID
O000312,U0052,2025-12-05 14:56:00,자사몰,PAID
O000313,U0068,2025-12-05 19:09:00,네이버,PAID
O000314,U0225,2025-12-05 12:40:00,자사몰,PAID
O000315,U0226,2025-12-05 10:57:00,지그재그,PAID
O000316,U0196,2025-12-05 15:20:00,자사몰,PAID
O000317,U0043,2025-12-05 18:38:00,자사몰,PAID
O000318,U0013,2025-12-05 19:56:00,지그재그,PAID
O000319,U0096,2025-12-05 13:41:00,네이버,PAID
O000320,U0122,2025-12-05 10:15:00,쿠팡,PAID
O000321,U0006,2025-12-05 14:08:00,에이블리,PAID
O000322,U0187,2025-12-05 11:48:00,쿠팡,PAID
O000323,U0007,2025-12-05 09:59:00,자사몰,PAID
O000324,U0146,2025-12-05 17:49:00,네이버,PAID
O000325,U0274,2025-12-05 11:17:00,쿠팡,PAID
O000326,U0104,2025-12-05 11:34:00,에이블리,PAID
O000327,U0033,2025-12-05 15:46:00,자사몰,PAID
O000328,U0222,2025-12-05 18:38:00,자사몰,PAID
O000329,U0089,2025-12-05 20:08:00,자사몰,PAID
O000330,U0177,2025-12-05 21:52:00,쿠팡,PAID
O000331,U0137,2025-12-05 10:49:00,네이버,PAID
O000332,U0268,2025-12-05 20:36:00,자사몰,PAID
O000333,U0184,2025-12-05 22:36:00,자사몰,PAID
O000334,U0052,2025-12-05 19:46:00,지그재그,PAID
O000335,U0022,2025-12-05 09:15:00,지그재그,PAID
O000336,U0076,2025-12-05 22:02:00,자사몰,PAID
O000337,U0214,2025-12-05 12:26:00,자사몰,PAID
O000338,U0292,2025-12-05 17:43:00,자사몰,PAID
O000339,U0023,2025-12-05 10:56:00,에이블리,PAID
O000340,U0159,2025-12-05 17:29:00,자사몰,PAID
O000341,U0155,2025-12-05 12:29:00,네이버,PAID
O000342,U0100,2025-12-05 17:48:00,네이버,PAID
O000343,U0119,2025-12-05 19:53:00,쿠팡,PAID
O000344,U0000,2025-12-05 15:54:00,네이버,PAID
O000345,U0271,2025-12-05 15:31:00,에이블리,PAID
O000346,U0022,2025-12-05 22:33:00,에이블리,PAID
O000347,U0043,2025-12-05 17:08:00,쿠팡,PAID
O000348,U0222,2025-12-05 11:15:00,네이버,PAID
O000349,U0201,2025-12-05 20:20:00,네이버,PAID
O000350,U0103,2025-12-05 21:37:00,자사몰,PAID
O000351,U0238,2025-12-05 10:34:00,자사몰,PAID
O000352,U0157,2025-12-05 22:07:00,쿠팡,PAID
O000353,U0020,2025-12-05 22:20:00,자사몰,PAID
O000354,U0182,2025-12-05 09:43:00,자사몰,PAID
O000355,U0015,2025-12-05 22:28:00,에이블리,PAID
O000356,U0236,2025-12-05 21:08:00,자사몰,PAID
O000357,U0113,2025-12-05 22:25:00,자사몰,PAID
O000358,U0043,2025-12-05 13:58:00,쿠팡,PAID
O000359,U0227,2025-12-05 10:57:00,지그재그,PAID
O000360,U0236,2025-12-05 18:27:00,자사몰,PAID
O000361,U0088,2025-12-05 11:17:00,자사몰,PAID
O000362,U0125,2025-12-05 16:26:00,네이버,PAID
O000363,U0214,2025-12-05 21:33:00,자사몰,PAID
O000364,U0009,2025-12-05 21:45:00,에이블리,PAID
O000365,U0176,2025-12-06 17:20:00,에이블리,PAID
O000366,U0015,2025-12-06 21:17:00,지그재그,PAID
O000367,U0299,2025-12-06 11:06:00,에이블리,PAID
O000368,U0028,2025-12-06 12:36:00,네이버,PAID
O000369,U0088,2025-12-06 18:20:00,자사몰,PAID
O000370,U0014,2025-12-06 14:36:00,네이버,PAID
O000371,U0252,2025-12-06 11:31:00,쿠팡,PAID
O000372,U0112,2025-12-06 16:00:00,자사몰,PAID
O000373,U0066,2025-12-06 11:58:00,자사몰,PAID
O000374,U0072,2025-12-06 22:33:00,네이버,PAID
O000375,U0202,2025-12-06 14:19:00,쿠팡,PAID
O000376,U0223,2025-12-06 16:41:00,네이버,PAID
O000377,U0182,2025-12-06 18:52:00,자사몰,PAID
O000378,U0150,2025-12-06 20:00:00,자사몰,PAID
O000379,U0290,2025-12-06 18:20:00,자사몰,PAID
O000380,U0053,2025-12-06 11:21:00,에이블리,PAID
O000381,U0163,2025-12-06 10:52:00,자사몰,PAID
O000382,U0171,2025-12-06 13:13:00,쿠팡,PAID
O000383,U0055,2025-12-06 09:24:00,네이버,PAID
O000384,U0211,2025-12-06 15:22:00,쿠팡,PAID
O000385,U0295,2025-12-06 19:14:00,네이버,PAID
O000386,U0017,2025-12-06 14:16:00,자사몰,PAID
O000387,U0192,2025-12-06 10:35:00,자사몰,PAID
O000388,U0247,2025-12-06 15:41:00,네이버,PAID
O000389,U0027,2025-12-06 12:12:00,자사몰,PAID
O000390,U0276,2025-12-06 13:19:00,자사몰,PAID
O000391,U0281,2025-12-06 11:03:00,지그재그,PAID
O000392,U0245,2025-12-06 09:13:00,자사몰,PAID
O000393,U0242,2025-12-06 13:50:00,지그재그,PAID
O000394,U0135,2025-12-06 17:24:00,자사몰,PAID
O000395,U0095,2025-12-06 13:28:00,쿠팡,PAID
O000396,U0288,2025-12-06 21:44:00,자사몰,PAID
O000397,U0277,2025-12-06 21:37:00,쿠팡,PAID
O000398,U0267,2025-12-06 17:43:00,쿠팡,PAID
O000399,U0243,2025-12-06 15:57:00,자사몰,PAID
O000400,U0264,2025-12-06 19:39:00,지그재그,PAID
O000401,U0085,2025-12-06 21:12:00,에이블리,PAID
O000402,U0103,2025-12-06 19:09:00,에이블리,PAID
O000403,U0034,2025-12-06 17:25:00,자사몰,PAID
O000404,U0234,2025-12-06 09:50:00,에이블리,PAID
O000405,U0214,2025-12-06 11:09:00,자사몰,PAID
O000406,U0051,2025-12-06 18:49:00,에이블리,PAID
O000407,U0176,2025-12-06 13:24:00,지그재그,PAID
O000408,U0019,2025-12-06 15:09:00,자사몰,PAID
O000409,U0019,2025-12-06 14:44:00,자사몰,PAID
O000410,U0137,2025-12-06 09:21:00,지그재그,PAID
O000411,U0251,2025-12-06 19:06:00,지그재그,PAID
O000412,U0226,2025-12-06 14:17:00,네이버,PAID
O000413,U0096,2025-12-06 22:26:00,쿠팡,PAID
O000414,U0191,2025-12-06 17:50:00,지그재그,PAID
O000415,U0206,2025-12-06 22:33:00,자사몰,PAID
O000416,U0102,2025-12-06 12:02:00,지그재그,PAID
O000417,U0101,2025-12-06 22:29:00,자사몰,PAID
O000418,U0015,2025-12-06 16:38:00,자사몰,PAID
O000419,U0282,2025-12-06 11:53:00,자사몰,PAID
O000420,U0145,2025-12-06 09:10:00,자사몰,PAID
O000421,U0115,2025-12-06 13:41:00,네이버,PAID
O000422,U0004,2025-12-06 11:41:00,쿠팡,PAID
O000423,U0156,2025-12-06 20:41:00,네이버,PAID
O000424,U0178,2025-12-06 12:29:00,쿠팡,PAID
O000425,U0203,2025-12-06 09:32:00,쿠팡,PAID
O000426,U0144,2025-12-06 10:30:00,자사몰,PAID
O000427,U0141,2025-12-06 20:57:00,자사몰,PAID
O000428,U0123,2025-12-06 21:54:00,지그재그,PAID
O000429,U0071,2025-12-06 19:31:00,네이버,PAID
O000430,U0018,2025-12-06 18:52:00,쿠팡,PAID
O000431,U0273,2025-12-06 16:58:00,네이버,PAID
O000432,U0087,2025-12-06 17:11:00,지그재그,PAID
O000433,U0132,2025-12-07 17:48:00,네이버,PAID
O000434,U0113,2025-12-07 20:55:00,자사몰,PAID
O000435,U0190,2025-12-07 13:29:00,자사몰,PAID
O000436,U0298,2025-12-07 18:04:00,쿠팡,PAID
O000437,U0195,2025-12-07 15:03:00,쿠팡,PAID
O000438,U0175,2025-12-07 18:57:00,쿠팡,PAID
O000439,U0092,2025-12-07 16:21:00,네이버,PAID
O000440,U0029,2025-12-07 13:13:00,자사몰,PAID
O000441,U0081,2025-12-07 21:49:00,쿠팡,PAID
O000442,U0219,2025-12-07 16:24:00,쿠팡,PAID
O000443,U0191,2025-12-07 14:48:00,에이블리,PAID
O000444,U0127,2025-12-07 14:19:00,자사몰,PAID
O000445,U0156,2025-12-07 22:02:00,자사몰,PAID
O000446,U0266,2025-12-07 14:27:00,쿠팡,PAID
O000447,U0250,2025-12-07 12:10:00,자사몰,PAID
O000448,U0116,2025-12-07 11:13:00,자사몰,PAID
O000449,U0063,2025-12-07 19:50:00,자사몰,PAID
O000450,U0273,2025-12-07 18:03:00,네이버,PAID
O000451,U0024,2025-12-07 15:28:00,네이버,PAID
O000452,U0078,2025-12-07 19:40:00,자사몰,PAID
O000453,U0266,2025-12-07 18:44:00,자사몰,PAID
O000454,U0261,2025-12-07 10:18:00,네이버,PAID
O000455,U0102,2025-12-07 22:33:00,네이버,PAID
O000456,U0082,2025-12-07 16:58:00,자사몰,PAID
O000457,U0120,2025-12-07 19:05:00,자사몰,PAID
O000458,U0076,2025-12-07 21:32:00,에이블리,PAID
O000459,U0131,2025-12-07 16:18:00,네이버,PAID
O000460,U0020,2025-12-07 14:51:00,지그재그,PAID
O000461,U0048,2025-12-07 09:00:00,지그재그,PAID
O000462,U0183,2025-12-07 18:17:00,지그재그,PAID
O000463,U0093,2025-12-07 15:29:00,자사몰,PAID
O000464,U0244,2025-12-07 19:56:00,네이버,PAID
O000465,U0030,2025-12-07 22:10:00,에이블리,PAID
